amfi_code,scheme_name,fund_house,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,alpha_rank,alpha_score,expense_rank,expense_score,drawdown_rank,drawdown_score,cagr_rank,cagr_score,sharpe_rank,sharpe_score,overall_score,overall_rank
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.23069305202112655,0.730546773556173,0.2607666908004223,1.38,-0.20960883862039192,9,79.48717948717949,16,61.53846153846154,28,30.76923076923077,1,100.0,9,79.48717948717949,78.07692307692308,6
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,0.22370441108299954,1.0682238272314726,0.2698375144191807,1.46,-0.11265729075028275,7,84.61538461538461,23,43.58974358974359,8,82.05128205128204,2,97.43589743589743,1,100.0,85.89743589743588,1
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,0.2141539844122886,0.7146822636441235,0.2119482701352573,0.8,-0.12588275606922517,13,69.23076923076923,12,71.7948717948718,12,71.7948717948718,3,94.87179487179486,11,74.35897435897436,78.84615384615384,5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,0.21386970347820866,0.8082678003905586,0.2719535450128533,1.38,-0.16217208574644848,6,87.17948717948718,16,61.53846153846154,20,51.28205128205128,4,92.3076923076923,7,84.61538461538461,80.64102564102562,4
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,0.20966276886698343,0.8832556184698841,0.2926358334175106,1.36,-0.18188513572116294,3,94.87179487179486,15,64.1025641025641,25,38.46153846153847,5,89.74358974358975,4,92.3076923076923,82.43589743589743,2
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,0.2012851827004558,0.8609773262277759,0.23201007160635082,1.54,-0.1501238549864533,10,76.92307692307693,30,25.64102564102564,17,58.97435897435898,6,87.17948717948718,5,89.74358974358975,73.71794871794872,7
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,0.1957295561946948,0.9655606517440117,0.27330465038306057,1.45,-0.1297396816518679,5,89.74358974358975,22,46.15384615384615,13,69.23076923076923,7,84.61538461538461,2,97.43589743589743,81.53846153846153,3
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,0.19315769580157993,0.919046535635828,0.2827036785246582,1.6,-0.1639674294693263,4,92.3076923076923,36,10.256410256410255,21,48.717948717948715,8,82.05128205128204,3,94.87179487179486,73.2051282051282,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,0.19181172352704046,0.717408995989017,0.21399784776051212,1.6,-0.11291596329323073,12,71.7948717948718,36,10.256410256410255,9,79.48717948717949,9,79.48717948717949,10,76.92307692307693,66.92307692307693,10
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.1792417402819655,0.7144216579881014,0.3005787817097677,1.52,-0.31171900300634214,2,97.43589743589743,26,35.8974358974359,37,7.6923076923076925,10,76.92307692307693,12,71.7948717948718,66.66666666666667,11
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,0.17840618560642607,0.832885227950596,0.26598577542043045,1.61,-0.17248105753451382,8,82.05128205128204,38,5.128205128205128,22,46.15384615384615,11,74.35897435897436,6,87.17948717948718,65.8974358974359,12
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.17712405265155495,0.711690174384724,0.3033696538698332,1.43,-0.2870600572176455,1,100.0,21,48.717948717948715,36,10.256410256410255,12,71.7948717948718,13,69.23076923076923,67.17948717948717,9
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.16997521141464,0.38463733450338433,0.16211256794033255,1.64,-0.21539827112383225,21,48.717948717948715,39,2.564102564102564,30,25.64102564102564,13,69.23076923076923,22,46.15384615384615,45.0,23
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,0.15124288391646323,0.7588510310771438,0.21829397904608644,1.51,-0.17414075086657232,11,74.35897435897436,24,41.02564102564102,23,43.58974358974359,14,66.66666666666666,8,82.05128205128204,65.8974358974359,12
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.1411072265550295,0.3888288460001743,0.15643835948169668,0.72,-0.18629743138595511,22,46.15384615384615,5,89.74358974358975,26,35.8974358974359,15,64.1025641025641,21,48.717948717948715,57.69230769230769,16
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.13933070349713095,-0.04707325681075913,0.08232801295222093,0.75,-0.21751396370148224,28,30.76923076923077,8,82.05128205128204,31,23.076923076923077,16,61.53846153846154,28,30.76923076923077,46.92307692307692,22
